5, 4, 47.25, 6.21, 11487.02, -1752.54
4, 5, 47.25, 6.14, 11533.80, -1759.13
5, 5, 52.50, 6.14, 11585.79, -1766.46
4, 4, 42.00, 6.14, 11627.38, -1772.32
5, 5, 52.50, 6.14, 11679.37, -1779.65
5, 5, 52.50, 6.14, 11731.35, -1786.97
4, 5, 47.25, 6.07, 11777.56, -1796.82
5, 4, 47.25, 6.14, 11824.35, -1803.41
4, 5, 47.25, 6.07, 11870.56, -1813.26
5, 5, 52.50, 6.07, 11921.91, -1824.21
4, 4, 42.00, 6.07, 11962.99, -1832.96
5, 5, 52.50, 6.07, 12014.33, -1843.91
4, 5, 47.25, 6.00, 12059.75, -1856.97
5, 4, 47.25, 6.07, 12105.96, -1866.82
4, 5, 47.25, 6.00, 12151.37, -1879.87
5, 5, 52.50, 6.00, 12201.82, -1894.38
4, 4, 42.00, 6.00, 12242.19, -1905.99
5, 5, 52.50, 6.00, 12292.64, -1920.50
4, 5, 47.25, 5.93, 12337.03, -1936.70
5, 5, 52.50, 5.93, 12386.34, -1954.70
4, 4, 42.00, 5.93, 12425.80, -1969.10
5, 5, 52.50, 5.93, 12475.12, -1987.11
5, 5, 52.50, 5.93, 12524.43, -2005.11
4, 4, 42.00, 5.93, 12563.89, -2019.51
5, 5, 52.50, 5.93, 12613.20, -2037.51
4, 5, 47.25, 5.86, 12656.35, -2056.78
5, 4, 47.25, 5.93, 12700.73, -2072.98
4, 5, 47.25, 5.86, 12743.88, -2092.25
5, 4, 47.25, 5.93, 12788.26, -2108.45
5, 5, 52.50, 5.93, 12837.58, -2126.45
5, 4, 47.25, 6.00, 12882.99, -2139.51
5, 4, 47.25, 6.07, 12929.20, -2149.36
5, 5, 52.50, 6.07, 12980.55, -2160.30
4, 4, 42.00, 6.07, 13021.63, -2169.06
5, 5, 52.50, 6.07, 13072.97, -2180.00
5, 5, 52.50, 6.07, 13124.32, -2190.95
4, 5, 47.25, 6.00, 13169.73, -2204.00
5, 4, 47.25, 6.07, 13215.94, -2213.85
4, 5, 47.25, 6.00, 13261.35, -2226.91
5, 5, 52.50, 6.00, 13311.81, -2241.42
5, 4, 47.25, 6.07, 13358.02, -2251.27
4, 5, 47.25, 6.00, 13403.43, -2264.33
5, 5, 52.50, 6.00, 13453.88, -2278.84
5, 4, 47.25, 6.07, 13500.10, -2288.69
4, 5, 47.25, 6.00, 13545.51, -2301.74
4, 4, 42.00, 6.00, 13585.87, -2313.35
4, 4, 42.00, 6.00, 13626.24, -2324.96
4, 4, 42.00, 6.00, 13666.60, -2336.56
5, 4, 47.25, 6.07, 13712.81, -2346.41
4, 4, 42.00, 6.07, 13753.89, -2355.17
-1, -2, -15.75, 6.14, 13738.29, -2352.97
0, 0, 0.00, 6.14, 13738.29, -2352.97
0, 0, 0.00, 6.14, 13738.29, -2352.97
